Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Benin,All,Imports,Value (USD 1000),USD (1000),1549,,1771,,3372,,5173,,1896,,2127,,4708,,2065,,3187,,3830,E,6414,,1634,,2350,,936,,2030,E,6098,,8343,,11068,E,7123,E,9705,E,6512,E,6316,,5073,,7569,,8656,,4949,,8035,,10629,,11586,,16210,,19160,,24487,,32103,,27681,,27497,,32603,,35461,,39307,,112693,,93796,,117064,,91159,,105822,,105816.04,,114023.01,,117679.36,
Benin,All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,291,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,,0,...,13,,0,...,0,...,0,...,0,...,0,...
Bermuda,All,Exports,Value (USD 1000),USD (1000),5678,,15810,,11496,,6700,E,7600,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,259,E,44,E,2,E,3,E,272,E,46,E,46,E,78,E,4,E,94,E,44,E,15,E,283,E,356,E,61,E,0,...,11,,43,,31,,22,,17,,25,,31,,43.42,,10.46,,9.76,
Bermuda,All,Imports,Value (USD 1000),USD (1000),3011,,2959,,3322,,3757,,4417,,5200,,5163,,6227,,6365,,6198,,6880,E,7717,,9175,E,8920,E,9794,,8525,,9780,,9320,,9250,E,7061,E,5677,E,7213,E,6381,E,7578,E,7049,E,8390,E,8210,E,8302,E,8435,E,12625,,13866,,13449,,11782,,10175,,8913,,9677,,11246,,13350,,12983,,11804,,14194,,16253,,16897,,16354.05,,12944.81,,14592.73,
Bhutan,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,377,,0,N,0,...,0,N,0,...,0,N,2,,0,...,3,E,0,...,1,E,0,...,0,...,0,...,16.09,E,24.49,E,0,E
Bhutan,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1939,,2041,,3081,,2293,,2461,,3182,,3613,,4664,,5078,E,5251,E,5129,E,5036,E,4964,E,6073,E,6579.15,E,6694.07,E,8046.71,E
Bolivia (Plurinat.State),All,Exports,Value (USD 1000),USD (1000),0,...,0,...,2,,0,...,0,...,0,...,0,...,12,,18,,11,,52,,80,,58,,82,,97,,477,,282,,341,,138,,182,,4,,130,,122,,7,,24,,35,,3,,22,E,1,,1,,0,...,14,,49,,18,,0,N,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Bolivia (Plurinat.State),All,Imports,Value (USD 1000),USD (1000),2062,,2733,,3804,,4143,,4724,,6321,,1423,,1133,,1860,,2616,,1151,,2280,,472,,2137,,420,,366,,612,,1481,,2814,,1673,,2580,,2984,,4764,,2957,,9193,,5527,,5471,,3587,,2640,,3343,,4862,,5354,,10062,,10321,,10020,,17848,,16529,,18164,,19056,,21960,,19516,,22404,,22383,,23921.73,,21144.68,,19074.79,
Bolivia (Plurinat.State),All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,31,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Bosnia and Herzegovina,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,113,E,89,E,431,E,1227,,5403,,6100,,7802,,7919,,10736,,10975,,9946,,10403,,9063,,8338,,6873,,7753,,8062,,7120,,7262,,12872.42,,17672.25,,20805.11,
